Company,Start_Date,End_Date,News_Count
FSMB,2023-07-21,2024-07-20,8662
MSFT,2022-12-17,2023-12-17,6195
AAPL,2022-12-17,2023-12-17,5953
TSLA,2022-12-14,2023-12-14,5773
NVDA,2022-12-17,2023-12-17,5706
AMZN,2023-03-09,2024-03-08,4782
DIS,2019-11-15,2020-11-14,3033
INTC,2018-10-26,2019-10-26,2898
GOOG,2019-06-03,2020-06-02,2567
GILD,2019-07-15,2020-07-14,2415
WFC,2016-09-07,2017-09-07,2227
AMD,2023-01-10,2024-01-10,2201
BA,2020-03-15,2021-03-15,2167
BABA,2017-06-08,2018-06-08,2085
CVX,2022-12-17,2023-12-17,2082
WMT,2020-02-20,2021-02-19,2081
XOM,2022-12-17,2023-12-17,2024
MU,2017-09-25,2018-09-25,1989
PCG,2018-11-09,2019-11-09,1790
GS,2022-12-06,2023-12-06,1777
